"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","132","Validate user array schema","Test Suite for User and Store domains","Wed Nov 27 00:52:47 CET 2024","passed","Wed Nov 27 00:52:47 CET 2024","APITests.UserSchemaValidationTest","Test for user domain","APITests.UserSchemaValidationTest","validateUserArraySchema"
"","10","Validate user schema","Test Suite for User and Store domains","Wed Nov 27 00:52:47 CET 2024","passed","Wed Nov 27 00:52:47 CET 2024","APITests.UserSchemaValidationTest","Test for user domain","APITests.UserSchemaValidationTest","validateUserSchema"
"","7","Place an order for a pet","Test Suite for User and Store domains","Wed Nov 27 00:52:47 CET 2024","passed","Wed Nov 27 00:52:47 CET 2024","APITests.APITest","Test for store domain","APITests.APITest","placeOrder"
"","2259","Add a new pet to the store","Default Suite","Wed Nov 27 00:36:32 CET 2024","broken","Wed Nov 27 00:36:35 CET 2024","APITests.APITest","felipe-borrero","APITests.APITest","addPet"
"","9","Update user","Test Suite for User and Store domains","Wed Nov 27 00:52:47 CET 2024","passed","Wed Nov 27 00:52:47 CET 2024","APITests.APITest","Test for user domain","APITests.APITest","updateUser"
"","15","Delete user with username not found","Test Suite for User and Store domains","Wed Nov 27 00:52:47 CET 2024","failed","Wed Nov 27 00:52:47 CET 2024","APITests.APITest","Test for user domain","APITests.APITest","deleteUserNotFound"
"","801","Create list of users with given input array","Test Suite for User and Store domains","Wed Nov 27 00:52:46 CET 2024","passed","Wed Nov 27 00:52:47 CET 2024","APITests.APITest","Test for user domain","APITests.APITest","createWithList"
"","6","Logs out current logged in user session","Test Suite for User and Store domains","Wed Nov 27 00:52:47 CET 2024","passed","Wed Nov 27 00:52:47 CET 2024","APITests.APITest","Test for user domain","APITests.APITest","logout"
"","8","Create user","Test Suite for User and Store domains","Wed Nov 27 00:52:47 CET 2024","passed","Wed Nov 27 00:52:47 CET 2024","APITests.APITest","Test for user domain","APITests.APITest","createUser"
"","7","Logs user into the system with invalid body","Test Suite for User and Store domains","Wed Nov 27 00:52:47 CET 2024","failed","Wed Nov 27 00:52:47 CET 2024","APITests.APITest","Test for user domain","APITests.APITest","loginWithInvalidBody"
"","249","Get user by username","Test Suite for User and Store domains","Wed Nov 27 00:52:47 CET 2024","passed","Wed Nov 27 00:52:47 CET 2024","APITests.APITest","Test for user domain","APITests.APITest","getUser"
"","7","Get store inventory with API key","Test Suite for User and Store domains","Wed Nov 27 00:52:47 CET 2024","passed","Wed Nov 27 00:52:47 CET 2024","APITests.APITest","Test for store domain","APITests.APITest","getStoreInventory"
"","9","Get user with invalid username","Test Suite for User and Store domains","Wed Nov 27 00:52:47 CET 2024","failed","Wed Nov 27 00:52:47 CET 2024","APITests.APITest","Test for user domain","APITests.APITest","getInvalidUsername"
"","8","Get store inventory with invalid API key","Test Suite for User and Store domains","Wed Nov 27 00:52:47 CET 2024","failed","Wed Nov 27 00:52:47 CET 2024","APITests.APITest","Test for store domain","APITests.APITest","getStoreInventoryWithInvalidApiKey"
"","13","Delete user","Test Suite for User and Store domains","Wed Nov 27 00:52:47 CET 2024","passed","Wed Nov 27 00:52:47 CET 2024","APITests.APITest","Test for user domain","APITests.APITest","deleteUser"
"","7","Logs user into the system","Test Suite for User and Store domains","Wed Nov 27 00:52:47 CET 2024","passed","Wed Nov 27 00:52:47 CET 2024","APITests.APITest","Test for user domain","APITests.APITest","login"
"","7","Get user with username not found","Test Suite for User and Store domains","Wed Nov 27 00:52:47 CET 2024","passed","Wed Nov 27 00:52:47 CET 2024","APITests.APITest","Test for user domain","APITests.APITest","getUserNotFound"
"","18","Delete user with invalid username","Test Suite for User and Store domains","Mon Nov 25 22:25:08 CET 2024","failed","Mon Nov 25 22:25:08 CET 2024","APITests.APITest","Test for user domain","APITests.APITest","deleteUserInvalidUsername"
